DataOraIncidente,NumeroIncidenti
2022-01-01,26
2022-01-02,19
2022-01-03,30
2022-01-04,43
2022-01-05,48
2022-01-06,24
2022-01-07,64
2022-01-08,35
2022-01-09,50
2022-01-10,42
2022-01-11,59
2022-01-12,39
2022-01-13,49
2022-01-14,62
2022-01-15,50
2022-01-16,52
2022-01-17,45
2022-01-18,33
2022-01-19,28
2022-01-20,53
2022-01-21,67
2022-01-22,43
2022-01-23,46
2022-01-24,35
2022-01-25,49
2022-01-26,43
2022-01-27,54
2022-01-28,34
2022-01-29,36
2022-01-30,71
2022-01-31,96
2022-02-01,65
2022-02-02,64
2022-02-03,56
2022-02-04,46
2022-02-05,48
2022-02-06,28
2022-02-07,55
2022-02-08,84
2022-02-09,66
2022-02-10,35
2022-02-11,66
2022-02-12,63
2022-02-13,59
2022-02-14,66
2022-02-15,57
2022-02-16,38
2022-02-17,63
2022-02-18,49
2022-02-19,32
2022-02-20,71
2022-02-21,72
2022-02-22,46
2022-02-23,58
2022-02-24,48
2022-02-25,61
2022-02-26,23
2022-02-27,67
2022-02-28,78
2022-03-01,58
2022-03-02,64
2022-03-03,68
2022-03-04,94
2022-03-05,51
2022-03-06,42
2022-03-07,49
2022-03-08,72
2022-03-09,58
2022-03-10,73
2022-03-11,47
2022-03-12,79
2022-03-13,42
2022-03-14,74
2022-03-15,63
2022-03-16,49
2022-03-17,62
2022-03-18,34
2022-03-19,72
2022-03-20,40
2022-03-21,52
2022-03-22,74
2022-03-23,66
2022-03-24,42
2022-03-25,61
2022-03-26,85
2022-03-27,54
2022-03-28,38
2022-03-29,75
2022-03-30,56
2022-03-31,63
2022-04-01,83
2022-04-02,61
2022-04-03,73
2022-04-04,65
2022-04-05,64
2022-04-06,60
2022-04-07,74
2022-04-08,79
2022-04-09,44
2022-04-10,68
2022-04-11,93
2022-04-12,70
2022-04-13,74
2022-04-14,61
2022-04-15,74
2022-04-16,47
2022-04-17,31
2022-04-18,39
2022-04-19,64
2022-04-20,47
2022-04-21,30
2022-04-22,55
2022-04-23,56
2022-04-24,60
2022-04-25,47
2022-04-26,68
2022-04-27,65
2022-04-28,58
2022-04-29,83
2022-04-30,53
2022-05-01,64
2022-05-02,50
2022-05-03,61
2022-05-04,62
2022-05-05,58
2022-05-06,69
2022-05-07,79
2022-05-08,47
2022-05-09,29
2022-05-10,94
2022-05-11,62
2022-05-12,96
2022-05-13,52
2022-05-14,54
2022-05-15,50
2022-05-16,48
2022-05-17,62
2022-05-18,53
2022-05-19,33
2022-05-20,63
2022-05-21,74
2022-05-22,63
2022-05-23,63
2022-05-24,62
2022-05-25,41
2022-05-26,60
2022-05-27,36
2022-05-28,35
2022-05-29,61
2022-05-30,61
2022-05-31,43
2022-06-01,79
2022-06-02,56
2022-06-03,59
2022-06-04,18
2022-06-05,49
2022-06-06,66
2022-06-07,52
2022-06-08,71
2022-06-09,57
2022-06-10,74
2022-06-11,22
2022-06-12,26
2022-06-13,43
2022-06-14,45
2022-06-15,43
2022-06-16,46
2022-06-17,41
2022-06-18,19
2022-06-19,29
2022-06-20,52
2022-06-21,36
2022-06-22,50
2022-06-23,76
2022-06-24,57
2022-06-25,43
2022-06-26,33
2022-06-27,43
2022-06-28,49
2022-06-29,42
2022-06-30,37
2022-07-01,57
2022-07-02,39
2022-07-03,22
2022-07-04,43
2022-07-05,63
2022-07-06,33
2022-07-07,37
2022-07-08,24
2022-07-09,93
2022-07-10,28
2022-07-11,54
2022-07-12,39
2022-07-13,34
2022-07-14,45
2022-07-15,37
2022-07-16,40
2022-07-17,39
2022-07-18,56
2022-07-19,27
2022-07-20,34
2022-07-21,24
2022-07-22,33
2022-07-23,42
2022-07-24,19
2022-07-25,53
2022-07-26,50
2022-07-27,60
2022-07-28,41
2022-07-29,32
2022-07-30,28
2022-07-31,32
2022-08-01,43
2022-08-02,50
2022-08-03,35
2022-08-04,48
2022-08-05,28
2022-08-06,47
2022-08-07,23
2022-08-08,33
2022-08-09,29
2022-08-10,21
2022-08-11,29
2022-08-12,27
2022-08-13,22
2022-08-14,20
2022-08-15,12
2022-08-16,22
2022-08-17,25
2022-08-18,31
2022-08-19,22
2022-08-20,15
2022-08-21,20
2022-08-22,35
2022-08-23,12
2022-08-24,16
2022-08-25,33
2022-08-26,26
2022-08-27,12
2022-08-28,13
2022-08-29,18
2022-08-30,23
2022-08-31,27
