DataOraIncidente,NumeroIncidenti
2019-01-01,62,
2019-01-11,705,
2019-01-21,800,
2019-01-31,989,
2019-02-10,975,
2019-02-20,778,
2019-03-02,830,
2019-03-12,824,
2019-03-22,825,
2019-04-01,847,
2019-04-11,953,
2019-04-21,993,
2019-05-01,654,
2019-05-11,886,
2019-05-21,828,
2019-05-31,920,
2019-06-10,853,
2019-06-20,919,
2019-06-30,859,
2019-07-10,848,
2019-07-20,769,
2019-07-30,698,
2019-08-09,668,
2019-08-19,407,
2019-08-29,440,
2019-09-08,672,
2019-09-18,804,
2019-09-28,855,
2019-10-08,826,
2019-10-18,883,
2019-10-28,861,
2019-11-07,928,
2019-11-17,1073,
2019-11-27,987,
2019-12-07,916,
2019-12-17,978,
2019-12-27,919,
2019-12-31,307

