DataOraIncidente,NumeroIncidenti
2020-01-01,53
2020-01-02,55
2020-01-03,57
2020-01-04,54
2020-01-05,41
2020-01-06,34
2020-01-07,89
2020-01-08,101
2020-01-09,101
2020-01-10,72
2020-01-11,76
2020-01-12,62
2020-01-13,76
2020-01-14,84
2020-01-15,71
2020-01-16,91
2020-01-17,94
2020-01-18,98
2020-01-19,57
2020-01-20,72
2020-01-21,88
2020-01-22,81
2020-01-23,90
2020-01-24,68
2020-01-25,81
2020-01-26,58
2020-01-27,105
2020-01-28,88
2020-01-29,95
2020-01-30,95
2020-01-31,67
2020-02-01,62
2020-02-02,64
2020-02-03,76
2020-02-04,81
2020-02-05,102
2020-02-06,88
2020-02-07,104
2020-02-08,57
2020-02-09,55
2020-02-10,77
2020-02-11,84
2020-02-12,87
2020-02-13,90
2020-02-14,96
2020-02-15,73
2020-02-16,48
2020-02-17,76
2020-02-18,92
2020-02-19,101
2020-02-20,89
2020-02-21,87
2020-02-22,66
2020-02-23,47
2020-02-24,87
2020-02-25,83
2020-02-26,79
2020-02-27,100
2020-02-28,96
2020-02-29,65
2020-03-01,49
2020-03-02,80
2020-03-03,86
2020-03-04,78
2020-03-05,68
2020-03-06,80
2020-03-07,60
2020-03-08,54
2020-03-09,51
2020-03-10,40
2020-03-11,26
2020-03-12,25
2020-03-13,18
2020-03-14,6
2020-03-15,8
2020-03-16,12
2020-03-17,14
2020-03-18,15
2020-03-19,11
2020-03-20,9
2020-03-21,10
2020-03-22,4
2020-03-23,13
2020-03-24,16
2020-03-25,16
2020-03-26,15
2020-03-27,17
2020-03-28,10
2020-03-29,4
2020-03-30,11
2020-03-31,23
2020-04-01,15
2020-04-02,18
2020-04-03,20
2020-04-04,12
2020-04-05,6
2020-04-06,27
2020-04-07,18
2020-04-08,20
2020-04-09,18
2020-04-10,22
2020-04-11,17
2020-04-12,5
2020-04-13,5
2020-04-14,19
2020-04-15,14
2020-04-16,14
2020-04-17,10
2020-04-18,12
2020-04-19,6
2020-04-20,43
2020-04-21,18
2020-04-22,40
2020-04-23,26
2020-04-24,27
2020-04-25,3
2020-04-26,13
2020-04-27,29
2020-04-28,17
2020-04-29,19
2020-04-30,16
2020-05-01,7
2020-05-02,14
2020-05-03,7
2020-05-04,46
2020-05-05,37
2020-05-06,38
2020-05-07,45
2020-05-08,51
2020-05-09,32
2020-05-10,25
2020-05-11,30
2020-05-12,53
2020-05-13,35
2020-05-14,38
2020-05-15,43
2020-05-16,26
2020-05-17,20
2020-05-18,58
2020-05-19,60
2020-05-20,51
2020-05-21,67
2020-05-22,66
2020-05-23,59
2020-05-24,36
2020-05-25,55
2020-05-26,60
2020-05-27,57
2020-05-28,44
2020-05-29,68
2020-05-30,48
2020-05-31,39
2020-06-01,60
2020-06-02,31
2020-06-03,67
2020-06-04,58
2020-06-05,52
2020-06-06,44
2020-06-07,39
2020-06-08,59
2020-06-09,56
2020-06-10,76
2020-06-11,78
2020-06-12,67
2020-06-13,43
2020-06-14,40
2020-06-15,72
2020-06-16,64
2020-06-17,67
2020-06-18,75
2020-06-19,64
2020-06-20,60
2020-06-21,39
2020-06-22,75
2020-06-23,82
2020-06-24,76
2020-06-25,65
2020-06-26,81
2020-06-27,63
2020-06-28,38
2020-06-29,44
2020-06-30,93
