DataOraIncidente,NumeroIncidenti
2019-01-01,0,
2019-01-11,13,
2019-01-21,13,
2019-01-31,23,
2019-02-10,10,
2019-02-20,8,
2019-03-02,10,
2019-03-12,13,
2019-03-22,18,
2019-04-01,15,
2019-04-11,23,
2019-04-21,16,
2019-05-01,15,
2019-05-11,27,
2019-05-21,21,
2019-05-31,31,
2019-06-10,10,
2019-06-20,15,
2019-06-30,9,
2019-07-10,21,
2019-07-20,12,
2019-07-30,11,
2019-08-09,11,
2019-08-19,4,
2019-08-29,10,
2019-09-08,5,
2019-09-18,9,
2019-09-28,15,
2019-10-08,17,
2019-10-18,19,
2019-10-28,12,
2019-11-07,17,
2019-11-17,22,
2019-11-27,23,
2019-12-07,17,
2019-12-17,13,
2019-12-27,16,
2019-12-31,6
